customer_id,first_name,last_name,email,phone,city,state,country,is_prime_member,created_timestamp,updated_timestamp,is_active
1,Isaac,Bakshi,yash32@example.net,+918196001338,Kishanganj,Gujarat,India,N,2022-12-12 21:26:47,2022-12-18 21:26:47,Y
2,Oni,Kannan,zmall@example.org,+916542351161,Hapur,Punjab,India,Y,2023-03-10 12:42:06,2023-09-14 12:42:06,Y
3,Aishani,Bassi,hyadav@example.com,+918495931034,Muzaffarpur,West Bengal,India,N,2026-08-22 09:28:35,2026-09-13 09:28:35,Y
4,Harrison,Rai,sudiksha52@example.com,03419283276,Proddatur,Haryana,India,Y,2022-10-19 02:25:25,2022-12-13 02:25:25,Y
5,Ekta,Bhalla,azadmutti@example.com,01395376724,Shahjahanpur,Telangana,India,Y,2022-03-24 10:39:55,2022-08-14 10:39:55,Y
6,Adya,Sangha,opathak@example.org,7101226916,Kavali,Manipur,India,Y,2026-08-21 01:46:55,2026-12-06 01:46:55,Y
7,Zayan,Apte,yadavamara@example.net,01462704828,Bihar Sharif,Uttarakhand,India,Y,2024-05-14 07:24:09,2024-05-15 07:24:09,Y
8,Yashica,Issac,kashviedwin@example.net,0957015430,Tezpur,Assam,India,Y,2024-11-23 02:55:03,2025-02-02 02:55:03,Y
9,Frederick,Sunder,waliajeremiah@example.org,7824896383,Silchar,Sikkim,India,Y,2024-11-11 18:18:31,2024-12-07 18:18:31,Y
10,Kashvi,Sarma,pdara@example.org,+915098393010,Jabalpur,Arunachal Pradesh,India,N,2025-01-20 07:26:32,2025-04-18 07:26:32,Y
11,Ganga,Bobal,aryasunder@example.org,2997376311,Raichur,Maharashtra,India,Y,2025-11-28 09:12:06,2026-04-14 09:12:06,N
12,Nirja,Sibal,chaudharidarsh@example.com,5133387262,Surendranagar Dudhrej,Haryana,India,N,2025-03-22 01:34:09,2025-04-11 01:34:09,Y
13,Faqid,Savant,bedialexander@example.org,+912677360260,Bilaspur,Uttar Pradesh,India,Y,2025-01-28 13:27:43,2025-06-24 13:27:43,Y
14,Suhani,Mangal,jsur@example.org,03098050097,Howrah,Mizoram,India,Y,2022-05-23 08:54:49,2022-11-08 08:54:49,Y
